Date,Campaign ID,Campaign Name,Campaign Status,Objective,Reach,Impressions,Frequency,Amount Spent,Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Results,Cost per Result,Purchases,Purchases Conversion Value,Purchase ROAS
2026-08-14,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,20336,34738,1.7082,307.46,513,0.6,0.0148,39,7.88,39,2519.29,8.1939
2026-08-15,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,20603,46088,2.237,530.16,1002,0.53,0.0217,53,10.0,53,4540.22,8.5639
2026-08-16,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,43103,51920,1.2046,841.13,957,0.88,0.0184,75,11.22,75,4874.06,5.7947
2026-08-17,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,19765,34968,1.7692,216.56,298,0.73,0.0085,19,11.4,19,1639.07,7.5687
2026-08-18,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,42251,53855,1.2746,403.81,1117,0.36,0.0207,43,9.39,43,3711.81,9.192
2026-08-19,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,28239,35116,1.2435,364.93,665,0.55,0.0189,45,8.11,45,2947.02,8.0756
2026-08-20,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,13665,30263,2.2146,599.69,603,0.99,0.0199,32,18.74,32,1981.86,3.3048
2026-08-21,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,25431,56978,2.2405,194.24,484,0.4,0.0085,33,5.89,33,2921.19,15.0391
2026-07-23,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,4273,11727,2.7444,148.05,303,0.49,0.0258,37,4.0,37,3649.27,24.6489
2026-07-24,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,8985,15269,1.6994,146.14,343,0.43,0.0225,32,4.57,32,1849.79,12.6577
2026-07-25,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,6687,13873,2.0746,227.41,259,0.88,0.0187,30,7.58,30,2838.78,12.4831
2026-07-26,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,6288,10785,1.7152,242.64,326,0.74,0.0302,42,5.78,42,3355.1,13.8275
2026-07-27,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,10590,17554,1.6576,292.92,466,0.63,0.0265,40,7.32,40,2218.79,7.5747
2026-07-28,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,5169,15622,3.0222,270.55,499,0.54,0.0319,52,5.2,52,3758.47,13.892
2026-07-29,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,9093,17626,1.9384,702.64,688,1.02,0.039,73,9.63,73,5117.74,7.2836
2026-07-30,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,4871,14302,2.9362,188.04,253,0.74,0.0177,24,7.83,24,1675.05,8.9079
2026-07-31,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,10073,19456,1.9315,762.17,768,0.99,0.0395,67,11.38,67,5580.86,7.3223
2026-08-01,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,6868,19236,2.8008,923.2,757,1.22,0.0394,102,9.05,102,9857.48,10.6775
2026-08-02,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,4538,12689,2.7962,295.02,263,1.12,0.0207,22,13.41,22,1419.15,4.8104
2026-08-03,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,4621,12106,2.6198,397.31,400,0.99,0.033,58,6.85,58,5011.92,12.6146
2026-08-04,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,7131,18280,2.5635,330.65,415,0.8,0.0227,49,6.75,49,4489.28,13.5771
2026-08-05,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,3120,9476,3.0372,170.27,220,0.77,0.0232,18,9.46,18,1697.86,9.9716
2026-08-06,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,5941,13994,2.3555,606.99,529,1.15,0.0378,45,13.49,45,4330.55,7.1345
2026-08-07,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,5060,15894,3.1411,421.28,356,1.18,0.0224,50,8.43,50,3920.83,9.3069
2026-08-08,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,5584,9233,1.6535,425.03,362,1.17,0.0392,48,8.85,48,4991.86,11.7447
2026-08-09,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,8323,17131,2.0583,245.87,596,0.41,0.0348,68,3.62,68,5286.27,21.5003
2026-08-10,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,6922,19023,2.7482,304.6,410,0.74,0.0216,51,5.97,51,3752.26,12.3186
2026-08-11,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,10465,19056,1.8209,356.35,298,1.2,0.0156,35,10.18,35,3526.7,9.8967
2026-08-12,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,4531,11626,2.5659,293.6,359,0.82,0.0309,47,6.25,47,4110.71,14.0011
2026-08-13,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,6001,9911,1.6516,258.11,383,0.67,0.0386,42,6.15,42,2514.1,9.7404
2026-08-14,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,10222,16807,1.6442,444.52,443,1.0,0.0264,60,7.41,60,6137.92,13.808
2026-08-15,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,6050,14866,2.4572,590.06,493,1.2,0.0332,62,9.52,62,5994.45,10.1591
2026-08-16,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,8473,18086,2.1345,301.47,702,0.43,0.0388,68,4.43,68,5247.5,17.4064
2026-08-17,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,4037,11868,2.9398,210.54,207,1.02,0.0174,24,8.77,24,2493.41,11.8429
2026-08-18,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,9196,13876,1.5089,386.5,304,1.27,0.0219,47,8.22,47,4521.85,11.6995
2026-08-19,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,3664,9501,2.5931,276.54,295,0.94,0.031,18,15.36,18,1698.12,6.1406
2026-08-20,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,3771,11990,3.1795,243.23,416,0.58,0.0347,59,4.12,59,4879.91,20.0629
2026-08-21,META-SALES-002,Sales | Retargeting 7d Cart,Active,OUTCOME_SALES,9843,17607,1.7888,450.12,647,0.7,0.0367,48,9.38,48,4801.27,10.6666
2026-07-23,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,13136,18092,1.3773,478.98,322,1.49,0.0178,15,31.93,15,1324.93,2.7661
2026-07-24,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,12266,21602,1.7611,70.02,136,0.51,0.0063,8,8.75,8,491.37,7.0176
2026-07-25,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,25640,28609,1.1158,164.84,263,0.63,0.0092,11,14.99,11,610.01,3.7006
2026-07-26,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,12740,20082,1.5763,312.08,308,1.01,0.0153,8,39.01,8,593.47,1.9017
2026-07-27,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,33371,38155,1.1434,803.78,588,1.37,0.0154,27,29.77,27,1943.62,2.4181
2026-07-28,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,16385,19020,1.1608,201.06,223,0.9,0.0117,12,16.75,12,882.39,4.3887
2026-07-29,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,27724,32534,1.1735,251.58,227,1.11,0.007,5,50.32,5,316.0,1.2561
2026-07-30,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,22988,38744,1.6854,496.83,564,0.88,0.0146,28,17.74,28,1796.34,3.6156
2026-07-31,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,20268,34565,1.7054,299.24,249,1.2,0.0072,16,18.7,16,1299.9,4.344
2026-08-01,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,26159,43197,1.6513,658.49,708,0.93,0.0164,46,14.31,46,3213.7,4.8804
2026-08-02,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,21925,32860,1.4987,394.09,485,0.81,0.0148,17,23.18,17,1057.99,2.6846
2026-08-03,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,12873,23001,1.7868,159.04,269,0.59,0.0117,7,22.72,7,495.11,3.1131
2026-08-04,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,23057,42398,1.8388,704.6,667,1.06,0.0157,33,21.35,33,2539.55,3.6042
2026-08-05,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,16272,28801,1.77,432.69,315,1.37,0.0109,21,20.6,21,1476.32,3.412
2026-08-06,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,36152,41627,1.1514,319.29,393,0.81,0.0094,10,31.93,10,743.56,2.3288
2026-08-07,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,13132,23070,1.7568,121.64,200,0.61,0.0087,12,10.14,12,811.72,6.6731
2026-08-08,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,31184,42989,1.3786,348.42,375,0.93,0.0087,18,19.36,18,1563.06,4.4861
2026-08-09,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,22393,38372,1.7136,276.81,526,0.53,0.0137,35,7.91,35,3143.49,11.3561
2026-08-10,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,23706,26763,1.129,313.08,248,1.26,0.0093,16,19.57,16,1069.59,3.4163
2026-08-11,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,12155,23944,1.9699,275.64,306,0.9,0.0128,8,34.45,8,643.14,2.3333
2026-08-12,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,15946,19004,1.1918,205.91,235,0.88,0.0124,10,20.59,10,575.56,2.7952
2026-08-13,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,15487,28211,1.8216,461.2,432,1.07,0.0153,10,46.12,10,525.25,1.1389
2026-08-14,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,12488,23158,1.8544,88.98,153,0.58,0.0066,6,14.83,6,422.12,4.744
2026-08-15,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,24573,37892,1.542,441.74,352,1.25,0.0093,9,49.08,9,635.72,1.4391
2026-08-16,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,15342,27281,1.7782,367.64,358,1.03,0.0131,13,28.28,13,787.6,2.1423
2026-08-17,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,32593,37638,1.1548,459.61,318,1.45,0.0084,19,24.19,19,1646.91,3.5833
2026-08-18,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,19245,27484,1.4281,208.25,167,1.25,0.0061,5,41.65,5,341.25,1.6387
2026-08-19,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,30867,41057,1.3301,609.72,522,1.17,0.0127,20,30.49,20,1381.19,2.2653
2026-08-20,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,37044,42315,1.1423,373.77,263,1.42,0.0062,17,21.99,17,1319.82,3.5311
2026-08-21,META-SALES-003,Sales | Lookalike Purchasers 1%,Active,OUTCOME_SALES,24454,36789,1.5044,397.13,503,0.79,0.0137,20,19.86,20,1927.55,4.8537
2026-07-23,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,17772,41263,2.3218,364.19,923,0.39,0.0224,923,0.39,16,696.4,1.9122
2026-07-24,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,23975,36937,1.5406,235.5,804,0.29,0.0218,804,0.29,8,419.29,1.7804
2026-07-25,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,34598,52250,1.5102,194.14,1337,0.15,0.0256,1337,0.15,17,1040.81,5.3611
2026-07-26,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,17302,42707,2.4683,261.03,725,0.36,0.017,725,0.36,11,798.62,3.0595
2026-07-27,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,33844,45484,1.3439,121.95,688,0.18,0.0151,688,0.18,4,281.46,2.308
2026-07-28,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,24128,34938,1.448,251.64,889,0.28,0.0254,889,0.28,13,915.14,3.6367
2026-07-29,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,27591,59419,2.1536,545.45,1642,0.33,0.0276,1642,0.33,29,1534.92,2.814
2026-07-30,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,35936,50718,1.4113,153.17,576,0.27,0.0114,576,0.27,5,254.93,1.6644
2026-07-31,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,19898,33681,1.6927,105.41,387,0.27,0.0115,387,0.27,2,109.5,1.0388
2026-08-01,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,37335,48813,1.3074,535.79,1332,0.4,0.0273,1332,0.4,17,1024.81,1.9127
2026-08-02,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,29975,60324,2.0125,638.55,1755,0.36,0.0291,1755,0.36,8,610.9,0.9567
2026-08-03,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,31935,67464,2.1125,306.87,1108,0.28,0.0164,1108,0.28,7,297.32,0.9689
2026-08-04,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,15751,36783,2.3353,437.08,984,0.44,0.0268,984,0.44,5,329.23,0.7532
2026-08-05,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,21053,32565,1.5468,161.92,611,0.27,0.0188,611,0.27,7,324.45,2.0038
2026-08-06,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,21904,54435,2.4852,362.8,966,0.38,0.0177,966,0.38,13,547.23,1.5084
2026-08-07,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,40186,51931,1.2923,212.16,617,0.34,0.0119,617,0.34,5,344.75,1.625
2026-08-08,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,28687,69498,2.4226,361.65,1158,0.31,0.0167,1158,0.31,7,377.95,1.0451
2026-08-09,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,40337,55687,1.3805,199.15,1346,0.15,0.0242,1346,0.15,16,1051.84,5.2816
2026-08-10,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,22035,51527,2.3384,474.63,1206,0.39,0.0234,1206,0.39,17,1146.08,2.4147
2026-08-11,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,48464,64497,1.3308,434.58,1510,0.29,0.0234,1510,0.29,6,314.13,0.7228
2026-08-12,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,26237,44037,1.6784,204.45,1115,0.18,0.0253,1115,0.18,20,923.96,4.5192
2026-08-13,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,20731,49385,2.3822,222.39,594,0.37,0.012,594,0.37,9,678.13,3.0493
2026-08-14,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,15269,32473,2.1267,289.61,894,0.32,0.0275,894,0.32,11,507.87,1.7536
2026-08-15,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,17704,41851,2.3639,411.75,1064,0.39,0.0254,1064,0.39,7,402.55,0.9777
2026-08-16,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,33290,56926,1.71,611.11,1389,0.44,0.0244,1389,0.44,17,1191.63,1.9499
2026-08-17,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,38898,59420,1.5276,385.13,878,0.44,0.0148,878,0.44,13,990.07,2.5707
2026-08-18,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,24907,42715,1.715,549.85,1236,0.44,0.0289,1236,0.44,13,666.52,1.2122
2026-08-19,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,28899,55026,1.9041,175.39,1011,0.17,0.0184,1011,0.17,7,449.31,2.5618
2026-08-20,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,36435,46384,1.2731,220.67,910,0.24,0.0196,910,0.24,16,1095.3,4.9635
2026-08-21,META-TRAF-101,Traffic | Blog & Collection Pages,Active,OUTCOME_TRAFFIC,26681,63810,2.3916,372.57,1002,0.37,0.0157,1002,0.37,8,609.7,1.6365
2026-07-23,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-07-24,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,5797,9637,1.6624,84.67,178,0.48,0.0185,178,0.48,1,48.88,0.5773
2026-07-25,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,6863,12326,1.796,23.34,146,0.16,0.0118,146,0.16,2,128.74,5.5159
2026-07-26,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,7277,8392,1.1532,39.64,90,0.44,0.0107,90,0.44,1,39.86,1.0055
2026-07-27,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,8832,13349,1.5114,39.32,251,0.16,0.0188,251,0.16,1,40.23,1.0231
2026-07-28,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,10711,14647,1.3675,58.29,250,0.23,0.0171,250,0.23,1,43.35,0.7437
2026-07-29,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,12295,13489,1.0971,78.31,241,0.32,0.0179,241,0.32,2,114.24,1.4588
2026-07-30,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,6584,8352,1.2685,16.14,59,0.27,0.0071,59,0.27,0,0.0,0.0
2026-07-31,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,8184,14576,1.781,38.42,115,0.33,0.0079,115,0.33,1,69.59,1.8113
2026-08-01,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,7271,12397,1.705,26.83,94,0.29,0.0076,94,0.29,1,61.16,2.2795
2026-08-02,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,5430,7106,1.3087,43.28,117,0.37,0.0165,117,0.37,1,60.73,1.4032
2026-08-03,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-08-04,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-08-05,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,5301,8868,1.6729,69.55,141,0.49,0.0159,141,0.49,1,41.38,0.595
2026-08-06,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-08-07,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,12524,13498,1.0778,55.5,130,0.43,0.0096,130,0.43,1,46.05,0.8297
2026-08-08,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-08-09,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,10602,14897,1.4051,41.78,111,0.38,0.0075,111,0.38,1,65.17,1.5598
2026-08-10,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-08-11,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,9162,10476,1.1434,56.74,123,0.46,0.0117,123,0.46,1,66.31,1.1687
2026-08-12,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,6371,9060,1.4221,57.77,122,0.47,0.0135,122,0.47,1,63.04,1.0912
2026-08-13,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,5312,7293,1.3729,30.91,145,0.21,0.0199,145,0.21,1,38.59,1.2485
2026-08-14,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-08-15,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-08-16,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,11048,12981,1.175,50.88,166,0.31,0.0128,166,0.31,2,133.81,2.6299
2026-08-17,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,10451,13126,1.256,124.78,259,0.48,0.0197,259,0.48,1,57.31,0.4593
2026-08-18,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,4886,8621,1.7644,27.56,76,0.36,0.0088,76,0.36,1,36.22,1.3142
2026-08-19,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
2026-08-20,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,9081,12001,1.3216,37.43,232,0.16,0.0193,232,0.16,1,50.75,1.3559
2026-08-21,META-TRAF-102,Traffic | Seasonal Promo Holdout,Paused,OUTCOME_TRAFFIC,8182,13273,1.6222,64.38,192,0.34,0.0145,192,0.34,1,57.73,0.8967
