Date,Advertiser ID,Advertiser,Campaign ID,Campaign,Impressions,Clicks,Click Rate,Active View: Viewable Impressions,Media Cost,Total Conversions,Click-through Conversions,View-through Conversions,Total Revenue,Cost Per Click-through Conversion
2026-08-06,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,128366,313,0.0024,77183,910.35,23,8,15,2041.68,113.79
2026-08-07,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,104735,229,0.0022,57354,493.16,4,2,2,188.18,246.58
2026-08-08,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,81179,149,0.0018,55202,384.9,7,4,3,394.6,96.22
2026-08-09,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,166048,218,0.0013,93224,1408.06,12,4,8,778.42,352.01
2026-08-10,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,104063,225,0.0022,80268,476.16,6,4,2,388.47,119.04
2026-08-11,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,132573,109,0.0008,72643,552.79,4,2,2,240.65,276.39
2026-08-12,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,83367,195,0.0023,47570,522.39,4,2,2,312.88,261.19
2026-08-13,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,128048,318,0.0025,86928,530.54,6,3,3,536.04,176.85
2026-08-14,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,173279,492,0.0028,99073,1047.58,14,9,5,655.93,116.4
2026-08-15,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,134927,297,0.0022,75387,1074.78,9,3,6,503.34,358.26
2026-08-16,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,150860,422,0.0028,90184,781.74,24,11,13,1810.49,71.07
2026-08-17,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,118395,100,0.0008,71762,479.27,4,2,2,339.75,239.63
2026-08-18,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,85919,130,0.0015,59323,718.31,5,3,2,212.84,239.44
2026-08-19,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,128840,322,0.0025,87757,992.82,10,4,6,415.79,248.21
2026-08-20,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,85646,171,0.002,53861,476.6,4,2,2,282.3,238.3
2026-08-21,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,157675,439,0.0028,84544,660.72,11,6,5,804.22,110.12
2026-07-23,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,40657,315,0.0077,28066,281.84,23,15,8,2347.36,18.79
2026-07-24,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,49339,304,0.0062,35841,249.53,15,10,5,952.38,24.95
2026-07-25,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,37579,234,0.0062,28021,251.39,15,10,5,1591.04,25.14
2026-07-26,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,45340,124,0.0027,33660,276.04,15,9,6,1609.15,30.67
2026-07-27,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,45917,103,0.0022,37159,203.63,11,7,4,1043.24,29.09
2026-07-28,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,29149,152,0.0052,23434,228.21,6,4,2,511.26,57.05
2026-07-29,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,28504,212,0.0074,18076,150.52,7,5,2,548.41,30.1
2026-07-30,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,51164,104,0.002,36433,466.11,7,4,3,718.93,116.53
2026-07-31,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,42480,278,0.0065,27567,236.6,10,6,4,891.38,39.43
2026-08-01,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,32952,209,0.0063,26520,297.32,10,6,4,605.47,49.55
2026-08-02,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,30096,132,0.0044,21034,275.42,16,9,7,1641.67,30.6
2026-08-03,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,23772,134,0.0056,19085,138.89,9,6,3,733.13,23.15
2026-08-04,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,61261,435,0.0071,42413,310.01,14,11,3,1085.49,28.18
2026-08-05,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,35622,74,0.0021,23543,200.29,5,4,1,433.29,50.07
2026-08-06,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,51399,358,0.007,36168,230.12,24,19,5,1402.48,12.11
2026-08-07,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,40258,82,0.002,27056,259.95,4,3,1,339.79,86.65
2026-08-08,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,37356,221,0.0059,27877,162.19,8,6,2,594.6,27.03
2026-08-09,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,46729,342,0.0073,35737,364.33,32,18,14,2305.68,20.24
2026-08-10,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,29519,83,0.0028,18206,239.47,6,4,2,497.72,59.87
2026-08-11,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,43549,297,0.0068,33887,356.68,24,16,8,2333.81,22.29
2026-08-12,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,41544,259,0.0062,24874,295.08,9,6,3,722.96,49.18
2026-08-13,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,44247,132,0.003,34737,284.51,11,7,4,872.63,40.64
2026-08-14,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,54623,374,0.0068,37626,372.69,19,16,3,1477.11,23.29
2026-08-15,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,48480,103,0.0021,31079,194.72,4,3,1,301.69,64.91
2026-08-16,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,41674,332,0.008,33518,182.52,26,22,4,1937.83,8.3
2026-08-17,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,44706,261,0.0058,33754,415.8,17,10,7,1307.51,41.58
2026-08-18,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,52701,131,0.0025,42761,464.3,5,3,2,285.59,154.77
2026-08-19,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,41237,114,0.0028,33604,354.29,13,7,6,1011.14,50.61
2026-08-20,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,49210,255,0.0052,38266,263.83,13,10,3,1381.18,26.38
2026-08-21,ADV-78421,Northwind Athletic,CM-DISP-502,CM360 | Site Retargeting,52640,115,0.0022,38872,388.59,14,8,6,902.16,48.57
2026-07-23,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,39091,43,0.0011,30784,587.65,6,0,6,341.69,0.0
2026-07-24,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,68979,248,0.0036,45732,899.41,16,5,11,1145.21,179.88
2026-07-25,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,62314,207,0.0033,52233,646.14,31,8,23,1892.94,80.77
2026-07-26,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,63086,75,0.0012,54769,1059.66,8,3,5,450.88,353.22
2026-07-27,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,62628,127,0.002,49975,739.73,8,3,5,443.3,246.58
2026-07-28,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,57442,187,0.0033,43593,947.41,11,4,7,828.18,236.85
2026-07-29,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,44595,174,0.0039,34703,416.56,6,3,3,404.01,138.85
2026-07-30,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,76712,98,0.0013,62647,759.82,5,2,3,325.73,379.91
2026-07-31,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,40580,133,0.0033,33137,551.42,10,3,7,516.48,183.81
2026-08-01,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,37458,59,0.0016,30736,579.43,7,2,5,488.47,289.71
2026-08-02,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,78487,294,0.0037,60983,1236.57,15,6,9,794.44,206.09
2026-08-03,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,54734,200,0.0037,41444,877.29,18,6,12,918.21,146.22
2026-08-04,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,51244,115,0.0022,39939,523.34,4,2,2,326.95,261.67
2026-08-05,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,83099,157,0.0019,57764,855.94,8,4,4,500.26,213.99
2026-08-06,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,80745,266,0.0033,61559,1230.2,21,9,12,1504.41,136.69
2026-08-07,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,56821,180,0.0032,43315,975.56,13,5,8,493.18,195.11
2026-08-08,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,46510,57,0.0012,38982,394.64,2,1,1,133.07,394.64
2026-08-09,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,47216,49,0.001,36182,553.94,3,1,2,197.48,553.94
2026-08-10,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,75091,79,0.0011,58001,909.61,3,1,2,185.36,909.61
2026-08-11,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,50272,173,0.0034,40470,807.45,11,6,5,437.97,134.58
2026-08-12,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,45891,131,0.0029,32493,529.78,7,4,3,580.75,132.44
2026-08-13,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,71446,284,0.004,50151,1060.29,27,10,17,2103.6,106.03
2026-08-14,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,77166,171,0.0022,56852,984.64,14,5,9,547.88,196.93
2026-08-15,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,71411,142,0.002,62469,1266.72,18,5,13,836.79,253.34
2026-08-16,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,95294,231,0.0024,62962,833.2,32,9,23,2021.62,92.58
2026-08-17,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,38100,135,0.0035,24902,383.73,6,2,4,456.27,191.87
2026-08-18,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,42329,114,0.0027,33031,698.19,7,3,4,379.35,232.73
2026-08-19,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,78921,313,0.004,64444,1026.6,21,12,9,1193.94,85.55
2026-08-20,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,42829,142,0.0033,37245,512.54,8,5,3,389.33,102.51
2026-08-21,ADV-78421,Northwind Athletic,CM-OLV-601,CM360 | Online Video Sports,69331,143,0.0021,60073,854.05,11,4,7,432.13,213.51
2026-07-23,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,18898,89,0.0047,13534,307.8,5,3,2,267.43,102.6
2026-07-24,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,15481,58,0.0037,10854,262.13,3,2,1,156.86,131.06
2026-07-25,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,12799,88,0.0069,10402,174.74,3,2,1,233.49,87.37
2026-07-26,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,16986,52,0.0031,13437,415.59,3,2,1,298.8,207.79
2026-07-27,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,14278,60,0.0042,11191,203.05,3,2,1,145.44,101.53
2026-07-28,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,15970,81,0.0051,13929,283.91,7,4,3,505.88,70.98
2026-07-29,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,18266,68,0.0037,14010,496.49,3,2,1,267.67,248.25
2026-07-30,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,15122,91,0.006,13325,338.98,4,3,1,312.71,112.99
2026-07-31,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,19471,101,0.0052,17762,535.44,5,3,2,360.03,178.48
2026-08-01,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,21079,111,0.0053,16055,517.99,6,3,3,335.93,172.66
2026-08-02,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,17120,143,0.0084,12085,404.64,9,7,2,799.85,57.81
2026-08-03,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,18591,166,0.0089,16265,423.27,4,3,1,235.59,141.09
2026-08-04,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,13333,114,0.0086,9550,371.34,6,4,2,437.18,92.83
2026-08-05,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,20809,68,0.0033,19000,483.31,5,3,2,476.46,161.1
2026-08-06,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,12742,97,0.0076,9915,284.81,4,2,2,329.04,142.41
2026-08-07,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,18864,100,0.0053,16509,258.34,3,2,1,258.23,129.17
2026-08-08,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,19604,138,0.007,15645,357.93,10,6,4,725.26,59.66
2026-08-09,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,17987,115,0.0064,13760,480.77,4,2,2,340.63,240.38
2026-08-10,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,14820,92,0.0062,11048,292.35,4,3,1,333.29,97.45
2026-08-11,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,13248,44,0.0033,11345,163.76,1,1,0,89.0,163.76
2026-08-12,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,14063,97,0.0069,10868,264.69,5,3,2,398.18,88.23
2026-08-13,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,13603,82,0.006,9609,296.9,3,2,1,199.16,148.45
2026-08-14,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,19702,97,0.0049,16842,487.35,5,3,2,372.64,162.45
2026-08-15,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,15158,94,0.0062,11485,391.11,5,3,2,389.17,130.37
2026-08-16,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,19369,74,0.0038,15058,374.32,3,2,1,267.1,187.16
2026-08-17,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,20609,159,0.0077,15846,325.98,4,3,1,211.1,108.66
2026-08-18,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,15962,63,0.0039,12521,238.98,3,2,1,241.47,119.49
2026-08-19,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,13049,84,0.0064,9537,222.27,4,3,1,258.99,74.09
2026-08-20,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,10110,44,0.0044,7931,212.16,3,2,1,216.13,106.08
2026-08-21,ADV-78421,Northwind Athletic,CM-DISP-503,CM360 | High Impact Homepage Takeover,23839,153,0.0064,17121,297.84,8,6,2,480.94,49.64
2026-07-23,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,30548,63,0.0021,16539,372.09,3,1,2,158.73,372.09
2026-07-24,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,25740,55,0.0021,12657,323.83,8,0,8,309.93,0.0
2026-07-25,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,25480,55,0.0022,14978,213.56,3,1,2,131.83,213.56
2026-07-26,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,17523,44,0.0025,10407,138.35,3,1,2,132.08,138.35
2026-07-27,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,36390,30,0.0008,15823,278.49,5,0,5,256.46,0.0
2026-07-28,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,34958,40,0.0011,20136,290.66,1,0,1,35.42,0.0
2026-07-29,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,32065,80,0.0025,19776,224.94,2,1,1,116.91,224.94
2026-07-30,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,24923,46,0.0018,13019,264.67,7,0,7,231.14,0.0
2026-07-31,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,17523,35,0.002,10053,228.12,0,0,0,0.0,0.0
2026-08-01,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,19302,27,0.0014,10926,171.13,3,0,3,206.18,0.0
2026-08-02,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,21906,25,0.0011,10315,227.35,5,0,5,328.83,0.0
2026-08-03,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,14326,25,0.0017,8727,87.82,7,0,7,210.19,0.0
2026-08-04,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,26426,50,0.0019,11442,295.97,4,0,4,134.93,0.0
2026-08-05,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,24802,31,0.0012,15525,181.65,3,0,3,141.51,0.0
2026-08-06,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,19087,10,0.0005,9910,134.78,0,0,0,0.0,0.0
2026-08-07,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,28755,71,0.0025,14538,202.94,1,0,1,34.13,0.0
2026-08-08,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,30135,23,0.0008,17881,362.38,2,0,2,65.47,0.0
2026-08-09,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,28523,51,0.0018,14547,335.99,2,1,1,92.94,335.99
2026-08-10,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,32681,22,0.0007,13893,392.81,6,0,6,255.48,0.0
2026-08-11,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,18099,32,0.0018,8362,195.61,2,1,1,135.3,195.61
2026-08-12,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,17535,32,0.0018,8336,177.84,4,0,4,223.39,0.0
2026-08-13,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,22806,17,0.0007,11971,245.2,5,0,5,336.78,0.0
2026-08-14,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,18667,41,0.0022,9431,193.59,1,0,1,30.67,0.0
2026-08-15,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,14701,14,0.001,9271,199.78,8,0,8,485.48,0.0
2026-08-16,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,30627,20,0.0007,16359,334.7,8,0,8,534.7,0.0
2026-08-17,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,20310,26,0.0013,11345,257.45,6,0,6,355.19,0.0
2026-08-18,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,19792,13,0.0007,10067,190.54,2,0,2,69.56,0.0
2026-08-19,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,20674,17,0.0008,13195,210.54,2,0,2,89.75,0.0
2026-08-20,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,25469,19,0.0007,15917,221.07,4,0,4,233.97,0.0
2026-08-21,ADV-78421,Northwind Athletic,CM-AUD-701,CM360 | Audio Podcast Sponsorship,35191,53,0.0015,18570,226.75,2,1,1,72.58,226.75
